El gusano de seda da ______.,Seda,Lana,Risa,Gusanos
El niño corre ______.,Rápido,Niño,Corre,Bien
El avión _____ alto.,Vuela,Es,Corre,Flota
La casa es muy ______.,Bonita,Casa,Alegre,Verde
El sol está muy _______.,Lejos,Cerca,Sonriente,Redondo
Mi hermana ______ y compro dos vestidos. ,Salio,Fue,Solo,Vino
¿Qué tipo de palabra es “aquí”?,Adverbio,Palabra,Verbo,Sujeto
¿Que tipo de palabra es Avión?,Aguda,Grave,Esdrújula,Sobreesdrújula
Raquel está ______ tarta.,Comiendo,Comerá,Come,Cocina
¿Con ___ vas al cine esta tarde?,Quién,Quien ,Qué,Quienes
El koala ____ hojas de eucalípto.,Come,Ríe,Corre,Agarra
El _____ empieza con abc.,Abecedario ,Avecedario ,Avcdario,Avocado
El anillo __ de Susana,Es,Son,De,Fueron
El avestruz corre________.,Rápido,Habilidoso,Lento,Andarte
Mi mama cocina______ todos los domingos.,Carne ,Abre,Toma ,Cama